Temperature,Rainfall,Humidity,Soil_pH,Nitrogen,Phosphorus,Potassium,Altitude,Region,Crop
7.67,252.17,54.46,7.38,51.66,41.22,62.54,972.99,0,Wheat
24.43,658.47,61.08,7.17,44.58,55.67,47.48,749.28,1,Ragi
24.31,927.7,52.03,6.29,60.58,41.41,50.92,650.92,1,Corn
29.72,718.78,67.08,7.27,78.45,62.07,63.82,1180.54,1,Corn
15.52,481.64,28.34,7.5,72.34,54.7,44.42,2006.82,0,Wheat
23.07,998.24,65.37,7.13,37.66,30.06,33.31,160.38,0,Jowar
32.95,471.44,56.63,7.94,58.3,37.89,49.14,229.2,0,Jowar
30.13,902.03,49.31,6.81,52.44,58.18,42.3,1270.39,1,Ragi
25.83,1357.3,72.9,6.77,67.89,66.31,69.31,476.72,1,Corn
31.39,1912.75,63.39,5.88,81.23,59.24,52.54,363.94,1,Rice
30.59,627.31,43.9,7.56,68.24,23.62,32.44,238.64,0,Jowar
16.9,1058.37,67.9,5.97,66.12,43.5,43.73,978.38,1,Ragi
28.2,2253.9,85.47,6.81,117.87,58.04,53.56,357.32,1,Rice
25.72,1090.8,42.02,6.88,74.54,38.92,49.55,980.34,1,Ragi
21.28,913.95,48.45,7.09,51.21,35.07,45.61,1415.19,1,Ragi
29.78,1136.99,48.8,7.08,61.77,44.55,40.12,1304.08,1,Ragi
30.65,670.17,79.11,6.08,76.06,43.27,43.88,1177.26,1,Corn
23.87,502.51,61.93,6.01,46.25,19.81,33.67,242.1,0,Jowar
5.98,491.79,52.62,6.85,77.67,49.15,65.79,930.88,0,Wheat
22.92,958.88,63.24,5.98,65.42,34.24,57.7,1056.84,1,Ragi
24.55,2244.43,64.04,6.0,114.04,45.83,42.94,287.07,1,Rice
32.14,512.94,31.63,7.28,69.99,30.57,24.19,291.51,0,Jowar
24.28,463.61,34.59,7.65,32.98,40.72,29.13,445.3,0,Jowar
26.7,2348.44,65.33,6.24,95.58,39.93,70.91,33.46,1,Rice
15.61,730.21,36.2,6.9,56.79,55.4,56.86,906.64,0,Wheat
16.18,732.12,25.13,7.27,70.2,51.32,32.77,1747.47,0,Wheat
28.12,495.53,56.81,6.82,41.93,32.21,35.87,180.97,0,Jowar
27.59,609.08,40.24,7.96,37.77,44.53,50.43,19.04,0,Jowar
25.65,1187.03,52.36,5.34,67.7,52.43,47.81,853.72,1,Ragi
26.28,1489.47,68.13,6.89,100.2,59.64,71.41,102.53,1,Rice
28.55,1234.78,53.17,5.58,94.18,41.77,43.82,320.28,1,Corn
27.63,564.22,54.71,6.59,73.75,53.91,38.72,1733.1,1,Ragi
21.37,934.77,42.05,7.1,44.09,23.58,37.48,260.62,0,Jowar
33.63,818.03,42.42,7.41,30.91,31.12,31.72,78.72,0,Jowar
22.65,2072.5,69.97,6.86,115.94,53.29,76.32,600.49,1,Rice
14.67,581.27,41.31,7.0,54.83,58.45,33.51,1667.9,0,Wheat
13.27,556.85,56.01,6.59,64.79,29.71,51.06,861.37,0,Wheat
15.29,939.38,47.33,5.11,48.42,53.51,55.0,1174.19,1,Ragi
28.18,884.35,55.86,5.48,46.39,57.32,39.66,1044.77,1,Ragi
23.93,465.93,51.85,6.13,34.58,38.82,29.66,348.72,0,Jowar
23.06,1455.21,68.23,6.66,69.49,41.54,68.5,677.9,1,Corn
5.86,787.2,54.13,6.2,87.07,45.91,43.15,1815.64,0,Wheat
17.43,404.26,49.18,6.53,65.65,48.88,62.42,1030.95,0,Wheat
6.66,711.68,24.95,7.32,50.7,56.46,42.6,2423.47,0,Wheat
29.67,615.37,65.6,6.93,67.07,60.06,43.09,523.26,1,Corn
23.26,729.6,60.86,6.74,81.22,46.49,49.87,1032.35,1,Corn
27.03,2389.66,89.51,5.56,110.01,54.58,55.41,449.69,1,Rice
20.16,390.3,49.51,7.14,56.5,44.31,47.19,1585.45,0,Wheat
21.82,968.88,50.66,6.75,61.41,28.49,41.57,27.53,0,Jowar
18.47,1022.12,76.59,6.22,97.34,58.95,68.05,1208.88,1,Corn
28.99,1004.72,57.33,7.18,41.1,37.12,43.36,866.46,1,Ragi
21.7,873.89,45.8,6.94,57.43,38.67,31.85,873.09,1,Ragi
18.05,1325.98,60.41,6.65,62.41,44.88,66.32,1026.76,1,Corn
29.87,1349.39,79.55,5.97,106.35,42.05,46.26,506.06,1,Rice
24.69,1889.23,77.35,6.36,83.0,74.66,50.18,73.29,1,Rice
10.12,522.94,55.37,7.08,75.68,47.9,40.99,1067.7,0,Wheat
21.65,675.88,56.22,6.5,48.47,49.26,40.09,415.63,0,Jowar
26.91,597.86,43.85,6.61,47.8,32.87,34.95,1707.92,1,Ragi
27.56,747.11,57.34,7.3,53.89,32.05,33.91,204.19,0,Jowar
33.68,2425.85,76.8,6.02,110.72,49.52,62.04,209.97,1,Rice
32.54,1833.29,63.88,5.7,107.97,57.58,48.39,298.61,1,Rice
23.82,595.65,57.82,6.93,56.81,56.76,49.83,1682.78,1,Ragi
14.08,266.64,51.62,6.85,89.43,37.27,52.07,1274.07,0,Wheat
19.7,863.68,60.4,5.68,69.11,31.32,31.25,1061.25,1,Ragi
10.56,374.01,43.34,6.12,54.73,36.17,57.13,1930.63,0,Wheat
25.92,1035.2,43.25,5.88,52.91,33.19,52.6,1435.17,1,Ragi
28.82,488.95,55.29,6.59,47.83,37.51,24.67,366.12,0,Jowar
25.49,1846.18,67.13,7.0,118.51,42.07,68.72,560.11,1,Rice
27.26,551.69,39.0,6.06,44.31,43.98,45.34,116.39,0,Jowar
13.3,239.02,26.02,6.76,59.01,32.73,44.23,2807.26,0,Wheat
20.48,1276.34,52.39,6.52,62.05,50.36,57.7,963.97,1,Corn
8.52,315.54,49.01,7.34,87.2,53.53,49.39,1539.08,0,Wheat
26.19,1114.33,52.7,6.33,72.48,71.08,50.35,1372.4,1,Corn
23.49,1730.93,85.1,6.07,102.73,63.41,47.28,216.37,1,Rice
14.29,432.58,25.17,7.1,80.25,56.27,42.2,1950.27,0,Wheat
28.83,756.26,42.4,7.8,49.56,33.57,49.55,242.98,0,Jowar
20.68,575.24,62.58,5.8,72.59,44.13,45.41,1541.97,1,Ragi
19.94,650.86,43.99,6.98,79.85,40.07,59.55,2902.88,0,Wheat
14.3,254.92,38.17,6.47,71.38,53.1,54.58,1100.45,0,Wheat
27.52,1198.13,48.27,7.44,57.97,40.91,31.99,668.14,1,Ragi
30.57,655.11,77.16,6.89,72.08,50.98,61.48,1014.37,1,Corn
19.99,893.84,41.88,5.12,69.36,43.69,38.05,832.1,1,Ragi
21.96,812.98,56.16,5.76,81.5,57.79,60.8,1112.58,1,Corn
27.83,596.61,64.76,7.35,47.34,29.09,42.61,127.83,0,Jowar
17.5,761.15,51.41,7.54,65.95,60.49,55.75,2334.42,0,Wheat
29.36,1449.84,67.11,5.73,85.22,64.47,43.91,518.32,1,Corn
23.53,536.66,44.17,6.56,48.25,45.08,46.3,939.79,1,Ragi
20.2,788.02,40.75,7.44,79.51,32.86,54.25,2314.61,0,Wheat
35.11,909.55,33.04,6.71,51.28,31.08,42.65,429.54,0,Jowar
25.05,766.84,42.71,7.86,50.94,42.21,21.26,178.47,0,Jowar
21.44,1103.08,57.6,5.35,48.02,48.01,60.0,989.08,1,Ragi
11.48,415.84,54.14,6.02,82.21,50.2,64.71,2098.74,0,Wheat
8.85,572.39,25.38,6.73,75.7,62.09,43.3,2482.96,0,Wheat
35.22,584.8,62.25,7.9,59.26,49.57,33.57,492.81,0,Jowar
22.32,758.05,75.66,6.3,75.77,44.98,51.37,1344.76,1,Corn
27.35,989.21,53.69,5.13,56.94,43.98,57.76,1368.38,1,Ragi
24.83,1350.93,86.06,6.17,114.55,76.17,42.94,534.52,1,Rice
20.25,1103.49,54.72,6.73,97.9,46.25,63.32,331.99,1,Corn
28.31,2272.0,69.82,5.75,108.13,72.8,43.79,141.56,1,Rice
22.65,1351.05,63.36,6.47,109.59,63.16,78.32,223.21,1,Rice
28.94,938.53,52.1,7.06,64.21,34.11,48.71,1706.94,1,Ragi
20.34,729.77,54.86,7.58,37.93,27.97,35.5,166.51,0,Jowar
25.59,693.18,43.12,7.29,66.65,25.32,31.84,74.42,0,Jowar
21.0,588.37,67.35,6.88,49.12,46.65,50.57,1718.81,1,Ragi
30.9,1293.93,68.93,7.19,61.74,53.03,68.82,1214.94,1,Corn
5.2,376.82,45.81,6.9,81.64,48.08,48.2,2399.37,0,Wheat
26.95,623.71,43.18,7.21,53.54,50.4,30.64,1426.86,1,Ragi
22.8,2237.21,66.85,6.31,114.96,65.87,61.16,192.97,1,Rice
22.8,847.93,58.59,5.55,72.97,38.21,49.76,608.66,1,Ragi
20.53,1058.67,64.35,5.95,57.82,38.74,57.62,738.76,1,Ragi
28.25,1285.03,83.72,6.92,93.48,75.85,53.21,561.66,1,Rice
30.27,1489.18,54.98,5.73,65.05,59.37,59.38,1312.86,1,Corn
21.48,1338.29,50.58,6.27,73.41,47.62,66.43,1191.86,1,Corn
21.77,408.49,61.13,6.49,59.15,44.31,45.75,495.56,0,Jowar
25.94,2159.01,78.92,6.76,105.45,62.16,43.18,214.91,1,Rice
8.31,587.4,51.39,7.4,76.27,64.22,42.33,1572.46,0,Wheat
23.64,1396.58,64.12,6.46,87.21,53.78,75.83,283.93,1,Rice
26.42,1261.09,62.62,6.25,89.62,72.7,39.87,220.24,1,Rice
22.02,1528.53,82.35,5.69,100.72,48.15,40.02,140.11,1,Rice
18.09,1036.9,45.56,5.19,58.27,29.83,32.07,1564.44,1,Ragi
17.27,512.93,53.68,7.3,74.02,54.1,47.94,1632.9,0,Wheat
27.6,790.96,59.76,6.84,45.28,42.11,36.66,27.31,0,Jowar
33.11,1836.58,70.31,6.7,98.5,47.64,74.5,532.51,1,Rice
25.74,548.86,52.58,5.29,64.58,58.2,49.9,692.64,1,Ragi
27.4,608.09,56.09,5.63,82.22,62.29,42.92,1302.01,1,Corn
20.79,781.92,40.66,7.75,42.78,41.56,41.19,120.36,0,Jowar
29.87,2201.86,79.06,6.29,81.29,78.48,71.69,173.11,1,Rice
21.64,1053.96,54.86,7.0,63.56,40.6,54.64,889.31,1,Ragi
28.97,491.41,48.08,7.17,41.28,20.63,20.69,8.92,0,Jowar
14.03,511.8,27.59,7.4,57.71,48.91,58.54,1278.13,0,Wheat
13.55,607.33,32.35,6.82,63.8,49.15,58.05,2498.82,0,Wheat
19.76,759.82,59.09,5.1,39.43,40.45,49.61,819.07,1,Ragi
25.35,1898.31,78.71,5.88,85.14,73.11,79.09,312.51,1,Rice
15.88,236.42,45.66,7.38,83.32,31.91,64.31,2332.58,0,Wheat
28.66,2455.46,80.89,6.03,109.81,44.63,39.02,100.69,1,Rice
10.04,747.91,27.86,7.44,73.83,53.99,43.8,2529.72,0,Wheat
29.14,1309.07,73.89,6.23,86.84,77.97,74.14,402.82,1,Rice
14.7,456.6,39.26,7.23,67.21,31.53,32.64,2689.81,0,Wheat
27.97,1196.38,73.64,6.0,84.24,53.48,63.15,667.92,1,Corn
6.01,433.82,35.55,6.15,59.91,59.74,39.28,2357.81,0,Wheat
25.89,1519.64,75.19,6.3,93.88,53.89,72.88,470.93,1,Rice
27.75,841.64,49.49,7.86,45.12,33.91,22.66,304.51,0,Jowar
30.24,789.99,30.03,6.8,42.09,39.26,25.66,287.23,0,Jowar
22.65,1496.68,55.03,6.54,92.17,53.28,54.35,1486.66,1,Corn
16.05,848.22,67.8,6.54,62.48,37.91,40.71,1626.59,1,Ragi
28.16,736.88,53.17,7.19,69.9,28.53,38.02,1090.32,1,Ragi
31.25,653.16,76.87,6.11,79.89,52.59,45.08,729.01,1,Corn
20.15,954.89,42.1,7.24,44.85,39.88,54.52,1317.26,1,Ragi
27.25,543.01,31.0,6.51,51.7,32.27,34.33,499.04,0,Jowar
25.86,1475.55,80.12,5.74,94.33,55.23,51.86,1038.02,1,Corn
25.67,1366.17,71.77,5.96,93.54,50.47,42.81,22.0,1,Rice
21.37,940.22,39.56,7.2,68.31,40.92,33.01,350.55,0,Jowar
14.97,483.31,31.18,6.04,74.81,62.51,34.0,1266.87,0,Wheat
33.24,459.77,33.18,7.72,39.47,40.7,36.92,422.83,0,Jowar
21.25,678.64,52.24,6.16,88.75,57.06,41.9,1310.9,1,Corn
35.18,979.26,62.55,7.66,70.58,24.85,29.85,266.48,0,Jowar
26.32,2308.14,82.15,5.65,97.57,41.45,59.52,400.31,1,Rice
30.75,704.88,44.71,6.79,57.3,35.97,46.6,448.64,0,Jowar
28.89,1112.4,48.29,6.04,58.71,60.89,36.97,1574.47,1,Ragi
21.02,1258.63,72.62,6.34,71.73,54.01,42.69,354.03,1,Corn
24.21,546.87,41.32,6.53,50.07,32.94,35.11,333.74,0,Jowar
30.48,564.14,44.35,6.84,53.45,36.98,32.63,640.72,1,Ragi
24.64,868.29,59.92,6.69,64.56,37.59,30.78,1142.78,1,Ragi
14.47,693.61,45.98,7.53,70.19,56.3,59.05,1900.1,0,Wheat
19.59,1153.03,77.51,7.46,73.55,57.0,64.72,431.25,1,Corn
24.76,1418.15,65.2,6.73,107.01,61.19,54.62,529.02,1,Rice
5.11,618.37,49.52,6.16,72.18,49.47,53.47,983.69,0,Wheat
22.38,1879.08,75.63,6.44,108.17,78.45,60.07,187.93,1,Rice
17.36,661.31,51.72,6.87,66.2,65.51,66.53,1457.78,1,Corn
30.9,742.0,44.35,6.71,56.45,47.81,35.96,423.15,0,Jowar
26.43,803.07,77.16,7.5,64.19,66.35,52.2,933.73,1,Corn
34.15,2054.26,77.65,5.72,106.73,46.36,55.16,102.41,1,Rice
23.89,1183.51,78.11,6.81,87.76,75.77,41.09,547.5,1,Rice
23.16,1562.31,83.88,7.05,87.09,58.14,74.08,143.23,1,Rice
32.71,807.85,39.16,7.37,61.51,29.08,20.95,465.11,0,Jowar
24.1,1285.3,62.8,6.88,91.57,70.43,51.04,800.01,1,Corn
15.91,385.33,55.07,6.14,50.57,36.67,39.38,1042.12,0,Wheat
22.86,730.29,53.41,6.63,70.69,37.55,42.75,928.87,1,Ragi
5.89,758.81,46.69,7.22,65.92,46.89,60.78,1716.41,0,Wheat
8.17,364.55,48.72,7.37,56.31,32.33,60.3,2808.04,0,Wheat
10.94,390.84,50.7,6.46,52.51,43.34,55.51,1521.94,0,Wheat
29.78,953.44,46.2,5.28,73.53,48.04,49.23,1544.56,1,Ragi
22.53,596.34,56.33,6.99,69.16,33.79,33.65,913.5,1,Ragi
23.73,851.89,59.13,5.76,92.8,40.66,49.75,513.08,1,Corn
24.89,1947.64,74.55,6.98,105.29,54.62,45.2,97.1,1,Rice
21.81,350.32,41.44,6.53,64.14,59.42,56.06,2982.11,0,Wheat
24.17,1006.5,57.82,6.44,99.66,66.53,45.37,345.91,1,Corn
15.97,494.2,65.33,5.56,47.15,51.21,38.73,1198.52,1,Ragi
22.22,761.8,73.99,7.42,76.91,68.82,64.96,879.7,1,Corn
29.43,748.35,58.55,6.17,86.34,62.93,62.71,914.05,1,Corn
28.71,2201.74,75.49,6.77,101.91,62.32,74.95,240.95,1,Rice
23.79,1205.08,78.67,6.16,84.99,78.06,60.93,142.58,1,Rice
11.95,632.22,51.17,7.44,54.43,37.95,33.62,2721.8,0,Wheat
23.89,2055.94,87.22,6.32,101.87,50.53,70.11,105.58,1,Rice
28.99,1871.45,77.13,6.61,110.85,67.61,77.11,0.0,1,Rice
21.58,1046.37,54.84,6.32,68.38,51.77,52.07,1500.43,1,Corn
19.84,1506.71,58.05,5.92,82.16,56.84,53.92,1233.5,1,Corn
25.8,1449.3,49.97,6.96,97.34,65.19,44.36,685.42,1,Corn
13.72,360.5,57.81,6.69,55.19,45.2,34.5,1906.12,0,Wheat
27.63,723.79,54.29,6.84,69.07,60.52,37.66,1403.8,1,Ragi
26.64,2365.09,83.83,6.97,109.61,55.36,63.25,392.89,1,Rice
32.24,2224.42,62.63,6.24,82.15,61.88,57.56,531.58,1,Rice
17.1,755.82,27.5,6.14,64.6,39.21,40.34,1297.46,0,Wheat
11.99,745.57,30.38,6.39,51.83,57.38,51.3,1488.22,0,Wheat
15.46,1088.49,69.44,5.34,49.56,56.25,58.0,1105.56,1,Ragi
16.47,873.75,64.8,6.42,66.87,39.93,31.54,1137.14,1,Ragi
32.22,1987.7,74.82,6.14,94.96,77.85,73.89,585.7,1,Rice
10.45,381.01,32.75,6.89,84.89,40.0,35.78,2637.37,0,Wheat
20.17,687.23,76.78,7.48,65.93,41.21,49.47,849.77,1,Corn
20.1,832.34,58.44,7.17,66.55,43.07,54.63,1687.17,1,Ragi
15.83,685.75,36.35,6.04,87.87,38.16,33.37,1602.8,0,Wheat
29.67,887.51,40.39,7.13,59.2,24.6,44.99,308.73,0,Jowar
31.68,1476.74,68.64,6.37,79.03,60.07,42.64,689.94,1,Corn
23.39,514.58,45.07,7.32,40.68,20.45,35.66,303.75,0,Jowar
26.76,1317.13,77.1,5.55,98.25,61.45,51.21,351.98,1,Rice
29.49,858.68,39.75,6.38,70.85,39.84,50.75,181.97,0,Jowar
14.68,288.87,52.38,6.5,73.57,54.99,61.06,2638.17,0,Wheat
29.71,1011.03,78.59,6.43,91.37,55.07,47.9,549.85,1,Corn
26.99,598.22,48.2,6.18,67.56,31.22,28.9,339.63,0,Jowar
20.6,1011.89,61.77,7.82,57.94,31.39,47.86,156.24,0,Jowar
14.71,766.83,46.26,7.02,52.32,54.05,29.24,961.58,1,Ragi
21.75,914.7,52.73,6.35,99.18,49.76,66.19,1310.83,1,Corn
19.19,797.76,61.31,5.82,79.03,53.63,68.17,815.34,1,Corn
14.9,234.22,34.07,6.96,84.57,62.23,47.65,2001.38,0,Wheat
28.84,972.17,55.61,7.39,81.43,65.66,50.35,703.25,1,Corn
34.49,1950.66,79.21,6.18,92.12,53.41,67.16,454.02,1,Rice
17.49,614.25,29.9,6.46,56.53,60.41,57.04,1252.37,0,Wheat
31.65,1537.35,83.68,6.11,105.21,42.83,63.96,261.11,1,Rice
31.58,1399.58,73.78,6.56,89.1,65.1,66.13,92.32,1,Rice
23.96,567.26,39.28,7.7,30.97,22.08,28.01,97.88,0,Jowar
24.43,595.02,49.45,5.51,76.59,52.97,50.45,962.72,1,Ragi
9.24,371.15,56.67,6.71,66.03,55.56,62.07,857.37,0,Wheat
21.77,747.68,56.79,5.24,70.87,47.87,36.0,829.88,1,Ragi
16.25,621.91,32.93,6.48,87.91,41.96,55.49,1784.62,0,Wheat
23.01,1061.92,68.3,6.97,63.41,44.31,30.71,1776.27,1,Ragi
26.1,661.88,65.21,5.23,43.9,58.61,49.45,1608.65,1,Ragi
19.06,1192.68,69.54,5.64,55.12,57.66,59.8,1140.11,1,Ragi
24.21,1507.39,74.17,7.46,82.16,55.27,63.72,1366.94,1,Corn
19.17,516.09,57.15,5.57,53.75,31.27,33.27,946.11,1,Ragi
22.74,1838.83,87.83,5.66,110.61,56.41,66.23,156.35,1,Rice
15.68,657.09,54.56,7.15,64.35,65.01,45.34,855.11,0,Wheat
32.1,2273.3,66.22,6.33,80.81,42.54,78.7,183.47,1,Rice
22.99,2113.14,89.99,5.87,86.41,45.34,52.61,65.43,1,Rice
25.96,529.56,46.69,7.73,57.73,36.89,22.17,341.96,0,Jowar
10.38,504.33,26.31,7.41,55.31,61.31,32.63,2606.82,0,Wheat
18.99,1110.68,66.7,7.2,99.75,55.18,50.29,522.45,1,Corn
22.08,2273.96,88.3,6.66,112.44,48.54,77.29,106.76,1,Rice
17.95,610.65,30.69,6.15,82.48,56.48,40.75,2240.99,0,Wheat
28.42,962.73,30.4,7.5,66.44,24.4,23.1,214.4,0,Jowar
26.06,1151.63,63.16,6.49,48.12,50.29,48.99,1325.87,1,Ragi
13.48,341.94,45.58,6.66,67.75,42.62,30.51,1947.83,0,Wheat
27.81,1773.97,77.04,6.57,109.31,47.68,60.82,255.35,1,Rice
18.15,224.63,27.23,6.43,69.62,43.59,30.94,2900.18,0,Wheat
31.09,927.13,49.59,6.05,63.72,42.38,41.62,1004.89,1,Corn
33.58,901.16,56.6,6.77,49.39,33.41,27.08,247.29,0,Jowar
23.8,2077.65,65.06,6.27,82.42,57.05,69.28,198.87,1,Rice
24.81,829.35,52.09,5.88,63.05,46.8,34.38,1161.43,1,Ragi
